"Filename","RepType Code","Description","Ticker","Date"
"2024102202869673","02002","Change in substantial holding","AKN","2024-10-22"
"2024102202869674","03002","Top 20 shareholders","EDC","2024-10-22"
"2024102202869681","02002","Change in substantial holding","EBR","2024-10-22"
"2024102202869699","03002","Top 20 shareholders","AGE","2024-10-22"
"2024102202869704","02003","Ceasing to be substantial holder","TWR","2024-10-22"
"2024102202869709","02001","Becoming substantial holder","TAR","2024-10-22"
"2024102202869710","03002","Top 20 shareholders","BIT","2024-10-22"
"2024102202869714","03002","Top 20 shareholders","AUZ","2024-10-22"
"2024102202869719","02002","Change in substantial holding","RSG","2024-10-22"
"2024102202869748","03002","Top 20 shareholders","IMM","2024-10-22"
"2024102202869750","02002","Change in substantial holding","TWR","2024-10-22"
"2024102202869757","02002","Change in substantial holding","TWR","2024-10-22"
"2024102202869763","02003","Ceasing to be substantial holder","IAM","2024-10-22"
"2024102202869800","02002","Change in substantial holding","ASL","2024-10-22"
"2024102202869821","02002","Change in substantial holding","PAT","2024-10-22"
"2024102202869825","03002","Top 20 shareholders","RRL","2024-10-22"
"2024102202869866","03002","Top 20 shareholders","TUA","2024-10-22"
"2024102202869868","02001","Becoming substantial holder","SHV","2024-10-22"
"2024102202869876","02002","Change in substantial holding","IFL","2024-10-22"
"2024102202869879","02002","Change in substantial holding","MEK","2024-10-22"
"2024102202869883","02002","Change in substantial holding","IGL","2024-10-22"
"2024102202869908","02002","Change in substantial holding","ASB","2024-10-22"
"2024102202869910","02002","Change in substantial holding","ORA","2024-10-22"
"2024102202869914","02002","Change in substantial holding","WJL","2024-10-22"
"2024102202869933","02001","Becoming substantial holder","MYX","2024-10-22"
"2024102202869934","02001","Becoming substantial holder","ACL","2024-10-22"
"2024102202869935","02001","Becoming substantial holder","WA1","2024-10-22"
"2024102202869937","02001","Becoming substantial holder","WEB","2024-10-22"
"2024102202869938","02001","Becoming substantial holder","ARB","2024-10-22"
"2024102202869941","02001","Becoming substantial holder","GOR","2024-10-22"
"2024102202869942","02003","Ceasing to be substantial holder","HDN","2024-10-22"
"2024102202869943","02003","Ceasing to be substantial holder","NWH","2024-10-22"
"2024102202869945","02001","Becoming substantial holder","SIG","2024-10-22"
"2024102202869947","03002","Top 20 shareholders","ATG","2024-10-22"
"2024102202869950","02003","Ceasing to be substantial holder","TAH","2024-10-22"
"2024102202869951","02003","Ceasing to be substantial holder","WAF","2024-10-22"
"2024102202869954","03002","Top 20 shareholders","AYA","2024-10-22"
"2024102202869976","02001","Becoming substantial holder","LRS","2024-10-22"
"2024102202869985","02002","Change in substantial holding","IAM","2024-10-22"
"2024102202869986","02002","Change in substantial holding","CTT","2024-10-22"
"2024102202869987","02003","Ceasing to be substantial holder","ACL","2024-10-22"
"2024102202870003","02003","Ceasing to be substantial holder","PNR","2024-10-22"
"2024102302870058","02002","Change in substantial holding","NVA","2024-10-23"
"2024102302870060","02002","Change in substantial holding","IMC","2024-10-23"
"2024102302870071","02001","Becoming substantial holder","AAR","2024-10-23"
"2024102302870084","02001","Becoming substantial holder","AGL","2024-10-23"
"2024102302870085","03002","Top 20 shareholders","VIT","2024-10-23"
"2024102302870156","02003","Ceasing to be substantial holder","AX1","2024-10-23"
"2024102302870207","03002","Top 20 shareholders","WGX","2024-10-23"
"2024102302870253","02002","Change in substantial holding","HFR","2024-10-23"
