Ticker,Company,Sector,Market Cap
BVS,Bravura Solutions Ltd,Software & Services,"999,829,424"
NXL,NUIX Ltd,Software & Services,"803,681,994"
VGL,Vista Group International Ltd,Software & Services,"776,211,738"
FCL,Fineos Corporation Holdings Plc,Software & Services,"673,614,333"
RUL,Rpmglobal Holdings Ltd,Software & Services,"590,572,343"
BRN,Brainchip Holdings Ltd,Software & Services,"546,950,268"
IFM,Infomedia Ltd,Software & Services,"503,298,188"
QOR,QORIA Ltd,Software & Services,"462,062,773"
DSE,Dropsuite Ltd,Software & Services,"412,442,372"
SKO,Serko Ltd,Software & Services,"395,235,638"
EOL,Energy One Ltd,Software & Services,"372,518,254"
PPS,Praemium Ltd,Software & Services,"355,897,805"
ATA,Atturra Ltd,Software & Services,"349,226,290"
RDY,Readytech Holdings Ltd,Software & Services,"267,486,764"
FND,Findi Ltd,Software & Services,"259,565,128"
APX,Appen Ltd,Software & Services,"235,183,368"
EIQ,Echoiq Ltd,Software & Services,"188,326,734"
DUG,DUG Technology Ltd,Software & Services,"141,390,481"
COS,Cosol Ltd,Software & Services,"136,491,597"
ACE,Acusensus Ltd,Software & Services,"135,825,086"
VNL,Vinyl Group Ltd,Software & Services,"119,609,174"
WRK,WRKR Ltd,Software & Services,"108,534,772"
EVS,Envirosuite Ltd,Software & Services,"101,409,258"
DUB,Dubber Corporation Ltd,Software & Services,"99,687,964"
CCR,Credit Clear Ltd,Software & Services,"95,545,944"
IOD,Iodm Ltd,Software & Services,"92,484,628"
KYP,Kinatico Ltd,Software & Services,"77,776,557"
IRI,Integrated Research Ltd,Software & Services,"77,148,428"
ST1,Spirit Technology Solutions Ltd,Software & Services,"73,217,888"
3DP,Pointerra Ltd,Software & Services,"68,431,528"
AV1,Adveritas Ltd,Software & Services,"65,043,558"
DCC,Digitalx Ltd,Software & Services,"62,588,442"
YOJ,Yojee Ltd,Software & Services,"54,192,345"
RKN,Reckon Ltd,Software & Services,"53,815,045"
UBN,Urbanise.com Ltd,Software & Services,"51,929,748"
