document_id,shareholder_name,event_date,present_votes,present_power,number_of_securities,ticker,source,previous_votes,previous_power,present_votes_affected,number_of_securities_affected
2024100102860486,"LIND GLOBAL FUND II LP (""LGF II"") AND THE LIND PARTNERS",2024-10-01,0.0,20000000.0,7.0,14D,new,,,,
2025022102915914,HOST-PLUS PTY LIMITED,2025-02-21,36406926.0,5.32,36406926.0,3DA,new,,,,
2025021802914166,INDUSTRY SUPER HOLDINGS PTY. LTD.,2025-02-18,36406926.0,5.32,36406926.0,3DA,new,,,,
2024070402824644,PAUL TORRANCE,2024-07-04,141466003.0,49.36,141466003.0,AAL,new,,,,
2024070502825444,SALTER BROTHERS EMERGING COMPANIES LIMITED,2024-07-05,22850000.0,7.9,22850000.0,AAL,new,,,,
2024123002899523,REGAL FUNDS MANAGEMENT PTY LTD AND ITS ASSOCIATES,2024-12-30,29638913.0,5.51,29638913.0,AL3,new,,,,
2024091002850782,DAVID SINGLETON AND JILL SINGLETON,2024-09-10,32827908.0,5.3028,32827908.0,ANG,new,,,,
2025032002927194,STATE STREET CORPORATION,2025-03-20,21273225.0,5.11,21273225.0,ASB,new,,,,
2024112202884664,IDA PRATIGNJO LAU,2024-11-22,11807256.0,8.16,11807256.0,BMH,new,,,,
2025042202937990,MUTUAL STREET PTY LTD,2025-04-22,12707614.0,8.78,12707614.0,BMH,new,,,,
2025022502916888,PHOENIX PORTFOLIOS PTY LTD,2025-02-25,2203337.0,5.32,2203337.0,BOL,new,,,,
2024091302852151,JAMES FINBARR FITZGERALD AND OLIVE THERESA FITZGERALD AS TRUSTEES FOR THE JF AND OT FITZGERALD FAMILY TRUST,2024-09-13,97720806.0,19.25,97720806.0,CVL,new,,,,
2024091302852150,PATRICK JOHN TALLON AND ASSOCIATES,2024-09-13,97620806.0,19.23,97620806.0,CVL,new,,,,
2024071202827309,AUSTRALIAN MEAT INDUSTRY SUPERANNUATION PTY LTD AS TRUSTEE FOR AUSTRALIAN MEAT INDUSTRY SUPERANNUATION TRUST,2024-07-12,27633000.0,19.87,27633000.0,DDB,new,,,,
2024080502835598,HARVEST LANE ASSET MANAGEMENT PTY LTD,2024-08-05,7148223.0,5.14,7148223.0,DDB,new,,,,
2025022402916631,REGAL FUNDS MANAGEMENT PTY LTD AND ITS ASSOCIATES,2025-02-24,49623248.0,5.69,49623248.0,DRO,new,,,,
2025011402903100,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2025-01-14,44086785.0,5.06,44086785.0,DRO,new,,,,
2024122702899059,VANGUARD GROUP,2024-12-27,47669725.0,5.466,47669725.0,DRO,new,,,,
2024061202816678,EACH OF THE PARTIES SET OUT IN ITEM 7,2024-06-12,1451382.0,5.01,1451382.0,ECL,new,,,,
2024090202847833,M&G INVESTMENTS (SINGAPORE) PTE. LTD.,2024-09-02,481927803.0,10.06,481927803.0,FBR,new,,,,
2024072902832461,SCHRODER INVESTMENT MANAGEMENT AUSTRALIA LIMITED,2024-07-29,40247189.0,5.14,40247189.0,FBU,new,,,,
2025041002935073,FOS CAPITAL LIMITED,2025-04-10,705.0,7.05,35000000.0,FOS,new,,,,
2024112202884166,VANGUARD GROUP,2024-11-22,13315278.0,5.021,13315278.0,GWA,new,,,,
2024022102775131,JWT HOLDINGS PTY LTD,2024-02-21,5214403.0,5.08,5214403.0,HCL,new,,,,
2024100802863786,QVG CAPITAL PTY LTD,2024-10-08,5620250.0,5.42,5620250.0,IPG,new,,,,
2025043002941463,STATE STREET CORPORATION,2025-04-30,15389208.0,5.44,15389208.0,JLG,new,,,,
2025042402939353,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2025-04-24,14949425.0,5.28,14949425.0,JLG,new,,,,
2024111202879748,PERPETUAL LIMITED AND ITS RELATED BODIES CORPORATE,2024-11-12,588266.0,5.006,588266.0,KOV,new,,,,
2025042202937983,BLACKROCK GROUP,2025-04-22,4961169.0,5.01,4961169.0,MND,new,,,,
2025031002923012,MAYBANK SECURITIES PTE. LTD.,2025-03-10,10000000.0,7.18,10000000.0,MPW,new,,,,
2025032802929955,AUSTRALIAN RETIREMENT TRUST PTY LTD ATF AUSTRALIAN RETIREMENT TRUST,2025-03-28,22995770.0,5.03,22995770.0,NWH,new,,,,
2024100702863403,STATE STREET CORPORATION AND SUBSIDIARIES,2024-10-07,23303364.0,5.1,23303364.0,NWH,new,,,,
2024110702878300,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2024-11-07,22950074.0,5.02,22950074.0,NWH,new,,,,
2024062702821461,MACQUARIE GROUP LIMITED,2024-06-27,7841219.0,5.37,7841219.0,OEC,new,,,,
2024080102834730,CLEAR PORT AUS PTY LTD,2024-08-01,11731751.0,5.53,11731751.0,OLH,new,,,,
2024020602769809,CLAUDIA WALTERS,2024-02-06,41869854.0,7.97,41869854.0,RDX,new,,,,
2024022702777850,FIL LIMITED,2024-02-27,43508324.0,5.51,43508324.0,RWC,new,,,,
2024080602836034,STATE STREET CORPORATION AND SUBSIDIARIES NAMED IN PARAGRAPH 7 TO THIS FORM,2024-08-06,39525794.0,5.03,39525794.0,RWC,new,,,,
2024061702818028,JES INVESTMENT TRUST,2024-06-17,5777961.0,5.01,5777961.0,SGI,new,,,,
2024061702818099,MICHAEL REGINALD DOUST,2024-06-17,8666942.0,7.51,8666942.0,SGI,new,,,,
2024070302824082,MATTHEW JINKS MASSY PTY LTD JIREB PTY LTD KRISTIE JINKS LISA JINKS JINKS FAMILY GROUP,2024-07-03,23936598.0,21.41,23936598.0,SKS,new,,,,
2025032502928626,CITIGROUP GLOBAL MARKETS AUSTRALIA PTY LIMITED,2025-03-25,37068546.0,6.1376,37068546.0,SRG,new,,,,
2025041702937441,VANGUARD GROUP,2025-04-17,30288197.0,5.015,30288197.0,SRG,new,,,,
2025040202931820,AUSTRALIAN RETIREMENT TRUST PTY LTD ATF AUSTRALIAN RETIREMENT TRUST,2025-04-02,32124918.0,5.215,32124918.0,SSM,new,,,,
2024092602858001,PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,2024-09-26,31245880.0,5.07,31245880.0,SSM,new,,,,
2025041702937442,VANGUARD GROUP,2025-04-17,31124407.0,5.053,31124407.0,SSM,new,,,,
2024112502885143,ANDREW FAIRBAIRN,2024-11-25,36714891.0,15.55,36714891.0,SYL,new,,,,
2024112502885146,JOSEPH BARTOLO,2024-11-25,73429782.0,31.02,73429782.0,SYL,new,,,,
2024112502885147,RAYMOND DANDO,2024-11-25,36714891.0,15.55,36714891.0,SYL,new,,,,
2024050102802310,MARK GABRIEL VARTULI / VARS ENTERPRISES PTY LTD / MEAGAN JOY VARTULI,2024-05-01,40120870.0,18.4,40120870.0,TEA,new,,,,
2024050102802309,STEPHEN ELLIOTT YOUNG / PORT TACK PTY LTD / MARESA PTY LTD,2024-05-01,90646956.0,41.6,90646956.0,TEA,new,,,,
2024121802896361,AWARE SUPER PTY LTD AS TRUSTEE OF AWARE SUPER,2024-12-18,45118092.0,5.27,45118092.0,VNT,new,,,,
2024052902811562,BLACKROCK GROUP,2024-05-29,43126842.0,5.04,43126842.0,VNT,new,,,,
2024092602857438,VANGUARD GROUP,2024-09-26,26765760.0,5.065,26765760.0,WOR,new,,,,
